time,area,actual_total_load_mw,total_load_forecast_mw
31/03/2025 16:45 - 31/03/2025 17:00,BZN|NL,12798.88,9578.46
31/03/2025 17:00 - 31/03/2025 17:15,BZN|NL,13040.44,9969.85
31/03/2025 17:15 - 31/03/2025 17:30,BZN|NL,13151.56,10419.27
31/03/2025 17:30 - 31/03/2025 17:45,BZN|NL,13294.79,10872.85
31/03/2025 17:45 - 31/03/2025 18:00,BZN|NL,13358.46,11427.81
31/03/2025 18:00 - 31/03/2025 18:15,BZN|NL,13467.8,11968.51
31/03/2025 18:15 - 31/03/2025 18:30,BZN|NL,13494.47,12574.11
31/03/2025 18:30 - 31/03/2025 18:45,BZN|NL,13477.05,13123
31/03/2025 18:45 - 31/03/2025 19:00,BZN|NL,13630.77,13581.11
31/03/2025 19:00 - 31/03/2025 19:15,BZN|NL,13745.87,13886.26
31/03/2025 19:15 - 31/03/2025 19:30,BZN|NL,13915.57,14122.01
31/03/2025 19:30 - 31/03/2025 19:45,BZN|NL,14135.63,14365.23
31/03/2025 19:45 - 31/03/2025 20:00,BZN|NL,14408.52,14440.57
31/03/2025 20:00 - 31/03/2025 20:15,BZN|NL,14540.56,14500.98
31/03/2025 20:15 - 31/03/2025 20:30,BZN|NL,14630.79,14472.53
31/03/2025 20:30 - 31/03/2025 20:45,BZN|NL,14659.39,14450.81
31/03/2025 20:45 - 31/03/2025 21:00,BZN|NL,14627.63,14363.02
31/03/2025 21:00 - 31/03/2025 21:15,BZN|NL,14507.83,14311.48
31/03/2025 21:15 - 31/03/2025 21:30,BZN|NL,14360.15,14146.84
31/03/2025 21:30 - 31/03/2025 21:45,BZN|NL,14204.12,13987.49
31/03/2025 21:45 - 31/03/2025 22:00,BZN|NL,13953.26,13914.89
31/03/2025 22:00 - 31/03/2025 22:15,BZN|NL,13668.88,13839.5
31/03/2025 22:15 - 31/03/2025 22:30,BZN|NL,13436.61,13727.95
31/03/2025 22:30 - 31/03/2025 22:45,BZN|NL,13204.94,13640.6
31/03/2025 22:45 - 31/03/2025 23:00,BZN|NL,12990.03,13451.8
31/03/2025 23:00 - 31/03/2025 23:15,BZN|NL,12711,13233.78
31/03/2025 23:15 - 31/03/2025 23:30,BZN|NL,12435.9,13062.53
31/03/2025 23:30 - 31/03/2025 23:45,BZN|NL,12260.73,12908.95
31/03/2025 23:45 - 01/04/2025 00:00,BZN|NL,12059.68,12723.18
01/04/2025 00:00 - 01/04/2025 00:15,BZN|NL,11928.98,12569.7
01/04/2025 00:15 - 01/04/2025 00:30,BZN|NL,11825.76,12468.4
01/04/2025 00:30 - 01/04/2025 00:45,BZN|NL,11660.63,12299.57
01/04/2025 00:45 - 01/04/2025 01:00,BZN|NL,11533.78,12138.28
01/04/2025 01:00 - 01/04/2025 01:15,BZN|NL,11326.87,12182.11
01/04/2025 01:15 - 01/04/2025 01:30,BZN|NL,11246.91,12137.01
01/04/2025 01:30 - 01/04/2025 01:45,BZN|NL,11184.04,12034.89
01/04/2025 01:45 - 01/04/2025 02:00,BZN|NL,11104.03,12005.33
01/04/2025 02:00 - 01/04/2025 02:15,BZN|NL,10991.64,11948.54
01/04/2025 02:15 - 01/04/2025 02:30,BZN|NL,10955.75,11846.54
01/04/2025 02:30 - 01/04/2025 02:45,BZN|NL,10880.78,11732.97
01/04/2025 02:45 - 01/04/2025 03:00,BZN|NL,10826.74,11636.25
01/04/2025 03:00 - 01/04/2025 03:15,BZN|NL,10870.28,11616.55
01/04/2025 03:15 - 01/04/2025 03:30,BZN|NL,10851.23,11584.87
01/04/2025 03:30 - 01/04/2025 03:45,BZN|NL,10838.41,11573
01/04/2025 03:45 - 01/04/2025 04:00,BZN|NL,10858.3,11575.4
01/04/2025 04:00 - 01/04/2025 04:15,BZN|NL,10886.48,11589.71
01/04/2025 04:15 - 01/04/2025 04:30,BZN|NL,10877.21,11657.73
01/04/2025 04:30 - 01/04/2025 04:45,BZN|NL,10910.54,11711.95
01/04/2025 04:45 - 01/04/2025 05:00,BZN|NL,10976.01,11751.1
01/04/2025 05:00 - 01/04/2025 05:15,BZN|NL,11118.7,11748.29
01/04/2025 05:15 - 01/04/2025 05:30,BZN|NL,11235.94,11811.25
01/04/2025 05:30 - 01/04/2025 05:45,BZN|NL,11437.46,11816.87
01/04/2025 05:45 - 01/04/2025 06:00,BZN|NL,11649.14,11807.26
01/04/2025 06:00 - 01/04/2025 06:15,BZN|NL,12181.74,11858.65
01/04/2025 06:15 - 01/04/2025 06:30,BZN|NL,12586.13,12005.66
01/04/2025 06:30 - 01/04/2025 06:45,BZN|NL,12967.23,12132.76
01/04/2025 06:45 - 01/04/2025 07:00,BZN|NL,13374.37,12310.29
01/04/2025 07:00 - 01/04/2025 07:15,BZN|NL,13915.39,12399.36
01/04/2025 07:15 - 01/04/2025 07:30,BZN|NL,14280.67,12742.83
01/04/2025 07:30 - 01/04/2025 07:45,BZN|NL,14553.95,13004.02
01/04/2025 07:45 - 01/04/2025 08:00,BZN|NL,14747.46,13283.44
01/04/2025 08:00 - 01/04/2025 08:15,BZN|NL,14765.24,13588.15
01/04/2025 08:15 - 01/04/2025 08:30,BZN|NL,14656.63,13819.68
01/04/2025 08:30 - 01/04/2025 08:45,BZN|NL,14681.03,13898.23
01/04/2025 08:45 - 01/04/2025 09:00,BZN|NL,14715.62,13864.23
01/04/2025 09:00 - 01/04/2025 09:15,BZN|NL,14466.99,13702.61
01/04/2025 09:15 - 01/04/2025 09:30,BZN|NL,14280.62,13380.09
01/04/2025 09:30 - 01/04/2025 09:45,BZN|NL,14120.41,13114.22
01/04/2025 09:45 - 01/04/2025 10:00,BZN|NL,13958.38,12845.67
01/04/2025 10:00 - 01/04/2025 10:15,BZN|NL,13672.37,12558.33
01/04/2025 10:15 - 01/04/2025 10:30,BZN|NL,13462.69,12077.63
01/04/2025 10:30 - 01/04/2025 10:45,BZN|NL,13446.21,11650.37
01/04/2025 10:45 - 01/04/2025 11:00,BZN|NL,13373.42,11250.26
01/04/2025 11:00 - 01/04/2025 11:15,BZN|NL,13171.45,10738.11
01/04/2025 11:15 - 01/04/2025 11:30,BZN|NL,13041.75,10178.71
01/04/2025 11:30 - 01/04/2025 11:45,BZN|NL,13204.66,9741.73
01/04/2025 11:45 - 01/04/2025 12:00,BZN|NL,13313.04,9417.8
01/04/2025 12:00 - 01/04/2025 12:15,BZN|NL,13042.97,9084.5
01/04/2025 12:15 - 01/04/2025 12:30,BZN|NL,12993.14,8733.16
01/04/2025 12:30 - 01/04/2025 12:45,BZN|NL,12992.33,8487.67
01/04/2025 12:45 - 01/04/2025 13:00,BZN|NL,12997.72,8342.44
01/04/2025 13:00 - 01/04/2025 13:15,BZN|NL,12914.43,8140.11
01/04/2025 13:15 - 01/04/2025 13:30,BZN|NL,13041.48,8078.98
01/04/2025 13:30 - 01/04/2025 13:45,BZN|NL,12939.37,8095.88
01/04/2025 13:45 - 01/04/2025 14:00,BZN|NL,12988.38,7968.35
01/04/2025 14:00 - 01/04/2025 14:15,BZN|NL,12835.25,7968.5
01/04/2025 14:15 - 01/04/2025 14:30,BZN|NL,12900.49,8041.41
01/04/2025 14:30 - 01/04/2025 14:45,BZN|NL,12748.89,8140.53
01/04/2025 14:45 - 01/04/2025 15:00,BZN|NL,12758.27,8284.28
01/04/2025 15:00 - 01/04/2025 15:15,BZN|NL,12723.9,8367.69
01/04/2025 15:15 - 01/04/2025 15:30,BZN|NL,12706.89,8593.31
01/04/2025 15:30 - 01/04/2025 15:45,BZN|NL,12709.51,8685.22
01/04/2025 15:45 - 01/04/2025 16:00,BZN|NL,12677.06,8993.29
01/04/2025 16:00 - 01/04/2025 16:15,BZN|NL,12787.21,9271.11
01/04/2025 16:15 - 01/04/2025 16:30,BZN|NL,12825.71,9651.64
01/04/2025 16:30 - 01/04/2025 16:45,BZN|NL,12816.28,10059.03
01/04/2025 16:45 - 01/04/2025 17:00,BZN|NL,12991.65,10472.81
01/04/2025 17:00 - 01/04/2025 17:15,BZN|NL,13027.38,10812.05
01/04/2025 17:15 - 01/04/2025 17:30,BZN|NL,13301.93,11349.17
01/04/2025 17:30 - 01/04/2025 17:45,BZN|NL,13515.05,11822.52
01/04/2025 17:45 - 01/04/2025 18:00,BZN|NL,13577.2,12248.23
01/04/2025 18:00 - 01/04/2025 18:15,BZN|NL,13559.88,12589.71
01/04/2025 18:15 - 01/04/2025 18:30,BZN|NL,13576.87,13227.28
01/04/2025 18:30 - 01/04/2025 18:45,BZN|NL,13636.85,13741.92
01/04/2025 18:45 - 01/04/2025 19:00,BZN|NL,13778.82,14141.58
01/04/2025 19:00 - 01/04/2025 19:15,BZN|NL,13888.56,14530.21
01/04/2025 19:15 - 01/04/2025 19:30,BZN|NL,14003.76,14760.46
01/04/2025 19:30 - 01/04/2025 19:45,BZN|NL,14221.97,14944.58
01/04/2025 19:45 - 01/04/2025 20:00,BZN|NL,14524.15,15031.34
01/04/2025 20:00 - 01/04/2025 20:15,BZN|NL,14618.28,15084.07
01/04/2025 20:15 - 01/04/2025 20:30,BZN|NL,14716.6,14967.92
01/04/2025 20:30 - 01/04/2025 20:45,BZN|NL,14802.88,14831.57
01/04/2025 20:45 - 01/04/2025 21:00,BZN|NL,14782.58,14674.11
01/04/2025 21:00 - 01/04/2025 21:15,BZN|NL,14618.94,14553.04
01/04/2025 21:15 - 01/04/2025 21:30,BZN|NL,14431.82,14324.87
01/04/2025 21:30 - 01/04/2025 21:45,BZN|NL,14300.23,14152.86
01/04/2025 21:45 - 01/04/2025 22:00,BZN|NL,14141.37,13977.53
01/04/2025 22:00 - 01/04/2025 22:15,BZN|NL,13926.8,13854.85
01/04/2025 22:15 - 01/04/2025 22:30,BZN|NL,13626.69,13775.76
01/04/2025 22:30 - 01/04/2025 22:45,BZN|NL,13329.17,13663.47
01/04/2025 22:45 - 01/04/2025 23:00,BZN|NL,13131.77,13518.6
01/04/2025 23:00 - 01/04/2025 23:15,BZN|NL,12907.9,13275.05
01/04/2025 23:15 - 01/04/2025 23:30,BZN|NL,12811.04,13069.03
01/04/2025 23:30 - 01/04/2025 23:45,BZN|NL,12562.7,12920.48
01/04/2025 23:45 - 02/04/2025 00:00,BZN|NL,12346.12,12729.52
02/04/2025 00:00 - 02/04/2025 00:15,BZN|NL,12167.75,13051.72
02/04/2025 00:15 - 02/04/2025 00:30,BZN|NL,12009.11,12917.19
02/04/2025 00:30 - 02/04/2025 00:45,BZN|NL,11787.46,12818.18
02/04/2025 00:45 - 02/04/2025 01:00,BZN|NL,11630.41,12673.14
02/04/2025 01:00 - 02/04/2025 01:15,BZN|NL,11578.31,12007.47
02/04/2025 01:15 - 02/04/2025 01:30,BZN|NL,11385.78,11905.65
02/04/2025 01:30 - 02/04/2025 01:45,BZN|NL,11345.52,11741.72
02/04/2025 01:45 - 02/04/2025 02:00,BZN|NL,11302.41,11648.25
